id,avtor,naslov,link,ocena,glasovi
3915,Abbi Glines,"The Vincent Boys (The Vincent Boys, #1)",/book/show/12900174-the-vincent-boys,3.96,71366
558,Abraham   Verghese,Cutting for Stone,/book/show/3591262-cutting-for-stone,4.29,337744
1821,Adam Carpenter Welles,Scars and Voices: And Other Stories,/book/show/43700638-scars-and-voices,4.49,186
2282,Adam Johnson,The Orphan Master's Son,/book/show/11529868-the-orphan-master-s-son,4.06,89407
2165,Adam Silvera,They Both Die at the End,/book/show/33385229-they-both-die-at-the-end,4.12,96404
3656,Adam Silvera,History Is All You Left Me,/book/show/25014114-history-is-all-you-left-me,4.05,35964
3786,Adam Silvera,More Happy Than Not,/book/show/19542841-more-happy-than-not,4.02,39914
2441,Adam Smith,An Inquiry into the Nature and Causes of the Wealth of Nations,/book/show/25698.An_Inquiry_into_the_Nature_and_Causes_of_the_Wealth_of_Nations,3.85,30097
3944,Adeline Yen Mah,Chinese Cinderella: The True Story of an Unwanted Daughter,/book/show/82751.Chinese_Cinderella,4.07,30149
3260,Adolf Hitler,Mein Kampf,/book/show/54270.Mein_Kampf,3.17,34009
3580,Adolfo Bioy Casares,The Invention of Morel,/book/show/94486.The_Invention_of_Morel,4.06,16672
3631,Adrienne Woods,"Moonbreeze (The Dragonian, #4)",/book/show/25712564-moonbreeze,4.2,3864
2243,Aeschylus,"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",/book/show/1519.The_Oresteia,4.02,34935
1254,Aesop,Aesop's Fables,/book/show/21348.Aesop_s_Fables,4.05,114419
1328,Afroz  Alam,Adhaata Asao's Liege,/book/show/51476294-adhaata-asao-s-liege,4.76,116
107,Agatha Christie,And Then There Were None,/book/show/16299.And_Then_There_Were_None,4.26,827819
205,Agatha Christie,"Murder on the Orient Express (Hercule Poirot, #10)",/book/show/853510.Murder_on_the_Orient_Express,4.17,383698
762,Agatha Christie,"Death on the Nile (Hercule Poirot, #17)",/book/show/131359.Death_on_the_Nile,4.1,128837
874,Agatha Christie,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",/book/show/16328.The_Murder_of_Roger_Ackroyd,4.24,154719
1545,Agatha Christie,"The Mysterious Affair at Styles (Hercule Poirot, #1)",/book/show/16343.The_Mysterious_Affair_at_Styles,3.99,256429
3552,Agatha Christie,"The A.B.C. Murders (Hercule Poirot, #13)",/book/show/16322.The_A_B_C_Murders,4.02,99632
3665,Agatha Christie,"The Man in the Brown Suit (Colonel Race, #1)",/book/show/209194.The_Man_in_the_Brown_Suit,3.96,82633
2331,Ahlam Mosteghanemi,ذاكرة الجسد,/book/show/2501458._,3.83,23478
955,Aimee Cabo Nikolov,"Love is the Answer, God is the Cure: A True Story of Abuse, Betrayal and Unconditional Love",/book/show/43483262-love-is-the-answer-god-is-the-cure,4.32,2139
2048,Aimee Carter,"The Goddess Test (Goddess Test, #1)",/book/show/9681214-the-goddess-test,3.8,54181
3975,Alain Damasio,La Horde du Contrevent,/book/show/1397743.La_Horde_du_Contrevent,4.46,3812
1857,Alan Bradley,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",/book/show/40605285-the-sweetness-at-the-bottom-of-the-pie,3.81,146065
1589,Alan Brennert,"Moloka'i (Moloka'i, #1)",/book/show/3273.Moloka_i,4.17,107504
2351,Alan Lightman,Einstein's Dreams,/book/show/14376.Einstein_s_Dreams,4.07,31486
142,Alan Moore,Watchmen,/book/show/472331.Watchmen,4.36,488169
355,Alan Moore,V for Vendetta,/book/show/5805.V_for_Vendetta,4.25,265465
1816,Alan Moore,Batman: The Killing Joke,/book/show/96358.Batman,4.37,170216
1976,Alan Moore,From Hell,/book/show/23529.From_Hell,4.17,33307
521,Alan Paton,"Cry, the Beloved Country",/book/show/6150.Cry_the_Beloved_Country,3.89,67698
109,Albert Camus,The Stranger,/book/show/49552.The_Stranger,3.98,709169
421,Albert Camus,The Plague,/book/show/11989.The_Plague,4.01,172629
861,Albert Camus,The Fall,/book/show/11991.The_Fall,4.02,74644
2515,Albert Camus,The Myth of Sisyphus and Other Essays,/book/show/11987.The_Myth_of_Sisyphus_and_Other_Essays,4.2,41154
2592,Alcoholics Anonymous,Alcoholics Anonymous,/book/show/158420.Alcoholics_Anonymous,4.45,8143
39,Aldous Huxley,Brave New World,/book/show/5129.Brave_New_World,3.99,1446056
1059,Aldous Huxley,Brave New World / Brave New World Revisited,/book/show/5479.Brave_New_World_Brave_New_World_Revisited,4.17,140700
1497,Aldous Huxley,Island,/book/show/5130.Island,3.83,25341
2038,Aldous Huxley,The Doors of Perception &amp; Heaven and Hell,/book/show/5128.The_Doors_of_Perception_Heaven_and_Hell,3.91,38326
2936,Aleatha Romig,"Consequences (Consequences, #1)",/book/show/12368985-consequences,3.93,39714
610,Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich,/book/show/17125.One_Day_in_the_Life_of_Ivan_Denisovich,3.95,92848
1799,Aleksandr Solzhenitsyn,The Gulag Archipelago 1918–1956,/book/show/70561.The_Gulag_Archipelago_1918_1956,4.27,20240
